domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
mediatek.com.,210.61.82.38,210.61.82.38,30,30
wechat.com.,43.155.124.49;43.154.240.170,43.154.240.170;43.155.124.49,300,12
byteoversea.net.,,,-1,-1
byteglb.com.,,,-1,-1
searchlabspartnerservice-pa.googleapis.com.,172.217.1.106;142.250.190.10;142.250.190.106;142.250.190.42;172.217.5.10;142.250.190.138;142.251.34.234;142.250.190.74;172.217.4.202;142.250.191.106;142.251.32.10;172.217.2.42;142.250.191.202;142.250.191.170;142.250.191.138;142.250.191.234,172.217.4.42;172.217.5.10;142.250.191.234;142.250.190.74;142.250.190.138;142.250.191.106;172.217.4.202;142.250.190.106;142.250.191.202;142.250.191.170;172.217.2.42;142.250.190.42;142.251.32.10;142.250.190.10;142.250.191.138;172.217.1.106,106,300
maps.googleapis.com.,172.217.4.42;142.250.190.106;142.250.190.10;142.250.191.106;142.250.190.42;172.217.2.42;142.250.191.234;172.217.5.10;142.250.191.170;142.251.34.234;142.250.191.138;172.217.4.74;142.250.191.202;172.217.4.202;142.250.190.74;142.251.32.10,142.250.190.106;142.250.191.170;142.250.190.74;142.250.190.10;172.217.2.42;142.250.190.42;172.217.1.106;172.217.4.74;142.250.191.234;142.251.34.234;142.250.191.106;142.250.191.138;172.217.4.202;142.251.32.10;142.250.191.202;142.250.190.138,211,300
app-analytics-services-att.com.,142.250.190.142,142.250.191.174,257,300
csp.withgoogle.com.,142.250.191.241,142.250.190.17,51,300
ipify.org.,104.26.12.205;104.26.13.205;172.67.74.152,104.26.13.205;104.26.12.205;172.67.74.152,300,300
notifications-ueeshp-pa.googleapis.com.,142.250.190.106;172.217.2.42;142.250.191.234;172.217.4.202;142.250.190.138;142.250.190.74;142.250.190.42;142.250.191.170;142.251.32.10;172.217.4.74;142.250.191.138;142.250.191.106;142.251.34.234;172.217.1.106;142.250.191.202;142.250.190.10,142.250.190.74;142.251.32.10;142.250.191.138;142.251.34.234;142.250.190.42;172.217.2.42;142.250.191.234;142.250.190.10;142.250.191.170;142.250.191.106;172.217.1.106;142.250.191.202;172.217.4.74;142.250.190.106;142.250.190.138,251,300
locationhistoryplacedetails-pa.googleapis.com.,142.250.190.10;172.217.4.202;142.250.190.42;142.250.190.138;142.250.191.170;172.217.4.42;142.250.190.74;142.250.191.106;142.251.32.10;142.250.190.106;142.250.191.202;172.217.1.106;142.251.34.234;172.217.2.42;172.217.5.10;142.250.191.138,172.217.1.106;142.250.191.170;142.250.191.234;172.217.4.42;172.217.2.42;142.250.190.10;172.217.4.202;142.250.191.106;142.251.34.234;142.250.191.202;142.251.32.10;142.250.190.138;142.250.190.106;142.250.191.138;172.217.4.74;142.250.190.74,5,300
